,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10
38,은행,이체,사이,자금,송금,수취,계좌,대출,약정,수취은행
39,상품,상표,표시,지정상품,지정,등,사용,원재료,등록,해당
40,점유,판단,집행,집행권원,권원,조,채무자,자료,수,등
41,청구권,수,민법,물권,행사,회복,상대,청구,제,반환
42,도로교통법,원심,도로,교통법,위반,개정,재판소,공소,유죄,위헌
43,등,토지,주거,조,이전비,주거이전비,시행자,제,사업시행자,보상
44,금융,전자,취지,전자금융업자,업자,조,항,선불전자지급수단,수단,회사
45,신고,허위,사실,신고자,목적,인식,필요,일,수,경우
46,사실,소멸,기산점,단기소멸시효,시효,관계,가해자,단기,인식,등
47,구분,소유자,구분소유자,반환,소송,이익,집합건물,부당,부분,건물
48,관리,건물,단,집합,집합건물,관리단,분양,구분,분양자,구
49,행위,등,수익,구성요건,요건,불법수익,정범,구성,필요,범죄
50,증서,저축,양도,공급,양수,입주자저축,입주자,청약,수,공인
51,등,상속,국세,상속인,납부,재산,항,조,제,국세기본법
52,상계,때,자동채권,자동,수,채권,효력,소급,,
53,양도,양수인,채권양수인,금전,채권,양도인,채권양도인,이전,수령,경우
54,수량,증권,일정,소송법,민사소송법,민사,유가증권,제,신청,목적
55,재심,조,저,청구,제,재판소,법,헌법재판소법,판결,경우
56,진술,영상,녹화,조서,자의,영상녹화,물,영상녹화물,증명,수
57,None,None,None,None,None,None,None,None,None,None
58,관계,법률관계,법률,과거,이익,유효,해결,사이,권리,현재
59,증거,증명,경우,인정,사실,정도,피고인,간접,법관,등
60,정보,사정,개인정보,위반,제공,개인,보호법,부정,원래,성격
61,교육,학습,학생,교육권,학교,사립,운영,근거,사립학교,수
62,체결,계약,해제,목적,이,이행,내용,불이,채무,이유
63,손해,시점,배상,행위,지연,불법행위,지연손해금,경우,산정,발생
64,혼인,이혼,배우자,상대방,경우,생활,등,관계,경제적,계속
65,등,영업,경쟁,사용,성과,사업,해당,관행,위,방법
66,유치권,위반,주의의무,주의,선량,관리자,의무,담보,소멸,피
67,교원,법인,기준,성과급,학교법인,보수,학교,교육,등,연봉
68,항,제,조의,저,이상,조,회,개정,위반,선고
69,기간,수,제척기간,권리,제척,항,법률관계,당사자,법률,관계
70,처분,신탁자,명의신탁자,수탁자,신탁,행위,소유권,부동산,명의수탁자,이전
71,등,행위,촬영,촬영물,물,수,성폭력,구,조,항
72,필요,긴박,경영,해고,,,,,,
73,회사,수,체결,계약,자,이해관계,영향,무효,저,관계
74,신청,선임,불복,결정,청산인,수,재판,절차법,기각,사건
75,행위,쟁의행위,쟁의,노동조합,노동,업무,제,등,조,근로자
76,확정,판결,허가,집행,집행권원,결정,매각,매각허가결정,수,권원
77,소송,비용,소송비용,보수,변호사,지급,규칙,항,당사자,조
78,None,None,None,None,None,None,None,None,None,None
79,None,None,None,None,None,None,None,None,None,None
80,손해,거래,항,조,저,배상,공정,제공,사업,판단
81,공판,수,출석,기일,상소,제기,송달,소송법,형사,형사소송법
82,경우,청구,판정,사망,연금,유족,자가,등,진폐유족연금,진폐판정절차
83,채권자,법률,행위,취소,법률행위,채권자취소권,취소권,채권,경우,채무자
84,법정대리인,법정,대리인,고소,관리,재산,재산관리인,관리인,소송법,행위
85,능력,의사능력,의사,수,의미,지적장애인,장애인,이해,지적,장애
86,주장,기망,허위,사실,인식,법원,피고인,이,사기,객관적
87,차별,연령,이유,전,고용,고령자,금지,내용,구,삭감
88,등,거래,투자자,수단,계획,행위,부정,기교,조,제
89,치료,효과,식품,의학적,진료,중단,보조,고객,판매자,보호
90,조,구상권,항,면책,행사,채무,제,민법,부담,수
91,담합,과징금,입찰담합,입찰,공정,행위,계약,산정기준,산정,기본
92,계약,등,의무,상대방,고지,수,계속적,일방,안전,당사자
93,학교안전법,직접,안전법,안전,책임,공제,때,보험,배상,자기
94,소송,시효,경우,제기,부분,중단,소,금액,종료,때
95,None,None,None,None,None,None,None,None,None,None
96,법무,법무법인,법인,경우,조,제,사법,수행,업무,변호사법
97,판단,심,저,사실,사후심적,심적,심의,심판단,사후,형사
98,선조,공동선조,공동,본,성과,후손,성년,종중,구성원,
99,공고,고시,경우,형식,규정,법령,사업,행정,절차,해당
100,거래,공정,등,특수,경제적,간,상황,객체,이익,기간
101,선고,법원,계속,파산선고,소송절차,소송,파산관재인,취소,절차,관재인
102,농지법,경우,전제,임,법,불법,위반,산정,무효,상태
103,상인,의료,행위,영업,의사,의료행위,의료법,규정,영업활동,상법
104,정보공개,기관,청구,공공,공공기관,거부,법률,공개,취소,정보
105,주택,임대,보증금,건설,국민,등,조,임대보증금,규정,위반
106,생활,혼인,부부,애정,관계,이혼,신뢰,이,본질,바탕
107,상고,피고인,비약적,항소,효력,형사,제기,인정,수,검사
108,이후,즉시,결정,확정,등재,즉시항고,명부,등재결정,사유,항고
109,사실,평가,이혼,사회적,가치,당산제,피고인,적시,의,사람
110,기간,년,휴업신고,수리,위,대,경과,전,업무,신고
111,위탁,관리,업자,위탁관리업자,계약,관리위탁계약,관리비,소송,제,업무
112,경우,당사자,채무,이행,선,때,선이행채무,선이행의무,의무,항
113,등사,열람,수,회사,주주,등,조,이유,제,상법
114,선고,피고인,등,설명,낭독,이유,주문,재판,저,판결
115,행위,상대방,부인,경우,항,채권,조,제,소멸,법
116,지공,토지,표준,재산세,부과,선정,표준지공시지,처분,등,취소
117,경매,경매절차,근저당,실행,매각,절차,경우,소멸,후,후순위
118,채,관리,이용,사업자,영화관,권한,약정,신탁,공연권,회사
119,회사,이사,의무,위반,감시,법령,경우,등,업무,감시의무
